,Author,Sentence
0,1,The family of Dashwood had long been settled in Sussex.
1,1,"Their estatewas large, and their residence was at Norland Park, in the centre oftheir property, where, for many generations, they had lived in sorespectable a manner as to engage the general good opinion of theirsurrounding acquaintance."
2,1,"The late owner of this estate was a singleman, who lived to a very advanced age, and who for many years of hislife, had a constant companion and housekeeper in his sister."
3,1,"But herdeath, which happened ten years before his own, produced a greatalteration in his home; for to supply her loss, he invited and receivedinto his house the family of his nephew Mr."
4,1,"Henry Dashwood, the legalinheritor of the Norland estate, and the person to whom he intended tobequeath it."
5,1,"In the society of his nephew and niece, and theirchildren, the old Gentleman’s days were comfortably spent."
6,1,Hisattachment to them all increased.
7,1,The constant attention of Mr.
8,1,andMrs.
9,1,"Henry Dashwood to his wishes, which proceeded not merely frominterest, but from goodness of heart, gave him every degree of solidcomfort which his age could receive; and the cheerfulness of thechildren added a relish to his existence.By a former marriage, Mr."
10,1,"Henry Dashwood had one son: by his presentlady, three daughters."
11,1,"The son, a steady respectable young man, wasamply provided for by the fortune of his mother, which had been large,and half of which devolved on him on his coming of age."
12,1,"By his ownmarriage, likewise, which happened soon afterwards, he added to hiswealth."
13,1,"To him therefore the succession to the Norland estate was notso really important as to his sisters; for their fortune, independentof what might arise to them from their father’s inheriting thatproperty, could be but small."
14,1,"Their mother had nothing, and theirfather only seven thousand pounds in his own disposal; for theremaining moiety of his first wife’s fortune was also secured to herchild, and he had only a life-interest in it.The old gentleman died: his will was read, and like almost every otherwill, gave as much disappointment as pleasure."
15,1,"He was neither sounjust, nor so ungrateful, as to leave his estate from his nephew;—buthe left it to him on such terms as destroyed half the value of thebequest."
16,1,Mr.
17,1,"Dashwood had wished for it more for the sake of his wifeand daughters than for himself or his son;—but to his son, and hisson’s son, a child of four years old, it was secured, in such a way, asto leave to himself no power of providing for those who were most dearto him, and who most needed a provision by any charge on the estate, orby any sale of its valuable woods."
18,1,"The whole was tied up for thebenefit of this child, who, in occasional visits with his father andmother at Norland, had so far gained on the affections of his uncle, bysuch attractions as are by no means unusual in children of two or threeyears old; an imperfect articulation, an earnest desire of having hisown way, many cunning tricks, and a great deal of noise, as to outweighall the value of all the attention which, for years, he had receivedfrom his niece and her daughters."
19,1,"He meant not to be unkind, however,and, as a mark of his affection for the three girls, he left them athousand pounds a-piece.Mr."
20,1,"Dashwood’s disappointment was, at first, severe; but his temper wascheerful and sanguine; and he might reasonably hope to live many years,and by living economically, lay by a considerable sum from the produceof an estate already large, and capable of almost immediateimprovement."
21,1,"But the fortune, which had been so tardy in coming, washis only one twelvemonth."
22,1,"He survived his uncle no longer; and tenthousand pounds, including the late legacies, was all that remained forhis widow and daughters.His son was sent for as soon as his danger was known, and to him Mr.Dashwood recommended, with all the strength and urgency which illnesscould command, the interest of his mother-in-law and sisters.Mr."
23,1,"John Dashwood had not the strong feelings of the rest of thefamily; but he was affected by a recommendation of such a nature atsuch a time, and he promised to do every thing in his power to makethem comfortable."
24,1,"His father was rendered easy by such an assurance,and Mr."
25,1,"John Dashwood had then leisure to consider how much there mightprudently be in his power to do for them.He was not an ill-disposed young man, unless to be rather cold heartedand rather selfish is to be ill-disposed: but he was, in general, wellrespected; for he conducted himself with propriety in the discharge ofhis ordinary duties."
26,1,"Had he married a more amiable woman, he might havebeen made still more respectable than he was:—he might even have beenmade amiable himself; for he was very young when he married, and veryfond of his wife."
27,1,But Mrs.
28,1,"John Dashwood was a strong caricature ofhimself;—more narrow-minded and selfish.When he gave his promise to his father, he meditated within himself toincrease the fortunes of his sisters by the present of a thousandpounds a-piece."
29,1,He then really thought himself equal to it.
30,1,"Theprospect of four thousand a-year, in addition to his present income,besides the remaining half of his own mother’s fortune, warmed hisheart, and made him feel capable of generosity."
31,1,"“Yes, he would givethem three thousand pounds: it would be liberal and handsome! It wouldbe enough to make them completely easy."
32,1,"Three thousand pounds! he couldspare so considerable a sum with little inconvenience.” He thought ofit all day long, and for many days successively, and he did not repent.No sooner was his father’s funeral over, than Mrs."
33,1,"John Dashwood,without sending any notice of her intention to her mother-in-law,arrived with her child and their attendants."
34,1,"No one could dispute herright to come; the house was her husband’s from the moment of hisfather’s decease; but the indelicacy of her conduct was so much thegreater, and to a woman in Mrs."
35,1,"Dashwood’s situation, with only commonfeelings, must have been highly unpleasing;—but in _her_ mind there wasa sense of honor so keen, a generosity so romantic, that any offence ofthe kind, by whomsoever given or received, was to her a source ofimmovable disgust."
36,1,Mrs.
37,1,"John Dashwood had never been a favourite withany of her husband’s family; but she had had no opportunity, till thepresent, of showing them with how little attention to the comfort ofother people she could act when occasion required it.So acutely did Mrs."
38,1,"Dashwood feel this ungracious behaviour, and soearnestly did she despise her daughter-in-law for it, that, on thearrival of the latter, she would have quitted the house for ever, hadnot the entreaty of her eldest girl induced her first to reflect on thepropriety of going, and her own tender love for all her three childrendetermined her afterwards to stay, and for their sakes avoid a breachwith their brother.Elinor, this eldest daughter, whose advice was so effectual, possesseda strength of understanding, and coolness of judgment, which qualifiedher, though only nineteen, to be the counsellor of her mother, andenabled her frequently to counteract, to the advantage of them all,that eagerness of mind in Mrs."
39,1,Dashwood which must generally have ledto imprudence.
40,1,"She had an excellent heart;—her disposition wasaffectionate, and her feelings were strong; but she knew how to governthem: it was a knowledge which her mother had yet to learn; and whichone of her sisters had resolved never to be taught.Marianne’s abilities were, in many respects, quite equal to Elinor’s.She was sensible and clever; but eager in everything: her sorrows, herjoys, could have no moderation."
41,1,"She was generous, amiable, interesting:she was everything but prudent."
42,1,"The resemblance between her and hermother was strikingly great.Elinor saw, with concern, the excess of her sister’s sensibility; butby Mrs."
43,1,Dashwood it was valued and cherished.
44,1,They encouraged eachother now in the violence of their affliction.
45,1,"The agony of grief whichoverpowered them at first, was voluntarily renewed, was sought for, wascreated again and again."
46,1,"They gave themselves up wholly to theirsorrow, seeking increase of wretchedness in every reflection that couldafford it, and resolved against ever admitting consolation in future.Elinor, too, was deeply afflicted; but still she could struggle, shecould exert herself."
47,1,"She could consult with her brother, could receiveher sister-in-law on her arrival, and treat her with proper attention;and could strive to rouse her mother to similar exertion, and encourageher to similar forbearance.Margaret, the other sister, was a good-humored, well-disposed girl; butas she had already imbibed a good deal of Marianne’s romance, withouthaving much of her sense, she did not, at thirteen, bid fair to equalher sisters at a more advanced period of life.CHAPTER II.Mrs."
48,1,"John Dashwood now installed herself mistress of Norland; and hermother and sisters-in-law were degraded to the condition of visitors.As such, however, they were treated by her with quiet civility; and byher husband with as much kindness as he could feel towards anybodybeyond himself, his wife, and their child."
49,1,"He really pressed them, withsome earnestness, to consider Norland as their home; and, as no planappeared so eligible to Mrs."
50,1,"Dashwood as remaining there till she couldaccommodate herself with a house in the neighbourhood, his invitationwas accepted.A continuance in a place where everything reminded her of formerdelight, was exactly what suited her mind."
51,1,"In seasons of cheerfulness,no temper could be more cheerful than hers, or possess, in a greaterdegree, that sanguine expectation of happiness which is happinessitself."
52,1,"But in sorrow she must be equally carried away by her fancy,and as far beyond consolation as in pleasure she was beyond alloy.Mrs."
53,1,John Dashwood did not at all approve of what her husband intendedto do for his sisters.
54,1,To take three thousand pounds from the fortuneof their dear little boy would be impoverishing him to the mostdreadful degree.
55,1,She begged him to think again on the subject.
56,1,"Howcould he answer it to himself to rob his child, and his only child too,of so large a sum? And what possible claim could the Miss Dashwoods,who were related to him only by half blood, which she considered as norelationship at all, have on his generosity to so large an amount."
57,1,"Itwas very well known that no affection was ever supposed to existbetween the children of any man by different marriages; and why was heto ruin himself, and their poor little Harry, by giving away all hismoney to his half sisters?“It was my father’s last request to me,” replied her husband, “that Ishould assist his widow and daughters.”“He did not know what he was talking of, I dare say; ten to one but hewas light-headed at the time."
58,1,"Had he been in his right senses, he couldnot have thought of such a thing as begging you to give away half yourfortune from your own child.”“He did not stipulate for any particular sum, my dear Fanny; he onlyrequested me, in general terms, to assist them, and make theirsituation more comfortable than it was in his power to do."
59,1,Perhaps itwould have been as well if he had left it wholly to myself.
60,1,He couldhardly suppose I should neglect them.
61,1,"But as he required the promise, Icould not do less than give it; at least I thought so at the time."
62,1,"Thepromise, therefore, was given, and must be performed."
63,1,"Something must bedone for them whenever they leave Norland and settle in a new home.”“Well, then, _let_ something be done for them; but _that_ somethingneed not be three thousand pounds."
64,1,"Consider,” she added, “that when themoney is once parted with, it never can return."
65,1,"Your sisters willmarry, and it will be gone for ever."
66,1,"If, indeed, it could be restoredto our poor little boy—”“Why, to be sure,” said her husband, very gravely, “that would makegreat difference."
67,1,The time may come when Harry will regret that solarge a sum was parted with.
68,1,"If he should have a numerous family, forinstance, it would be a very convenient addition.”“To be sure it would.”“Perhaps, then, it would be better for all parties, if the sum werediminished one half.—Five hundred pounds would be a prodigious increaseto their fortunes!”“Oh! beyond anything great! What brother on earth would do half so muchfor his sisters, even if _really_ his sisters! And as it is—only halfblood!—But you have such a generous spirit!”“I would not wish to do any thing mean,” he replied."
69,1,"“One had rather,on such occasions, do too much than too little."
70,1,"No one, at least, canthink I have not done enough for them: even themselves, they can hardlyexpect more.”“There is no knowing what _they_ may expect,” said the lady, “but weare not to think of their expectations: the question is, what you canafford to do.”“Certainly—and I think I may afford to give them five hundred poundsa-piece."
71,1,"As it is, without any addition of mine, they will each haveabout three thousand pounds on their mother’s death—a very comfortablefortune for any young woman.”“To be sure it is; and, indeed, it strikes me that they can want noaddition at all."
72,1,They will have ten thousand pounds divided amongstthem.
73,1,"If they marry, they will be sure of doing well, and if they donot, they may all live very comfortably together on the interest of tenthousand pounds.”“That is very true, and, therefore, I do not know whether, upon thewhole, it would not be more advisable to do something for their motherwhile she lives, rather than for them—something of the annuity kind Imean.—My sisters would feel the good effects of it as well as herself.A hundred a year would make them all perfectly comfortable.”His wife hesitated a little, however, in giving her consent to thisplan.“To be sure,” said she, “it is better than parting with fifteen hundredpounds at once."
74,1,"But, then, if Mrs."
75,1,"Dashwood should live fifteen yearswe shall be completely taken in.”“Fifteen years! my dear Fanny; her life cannot be worth half thatpurchase.”“Certainly not; but if you observe, people always live for ever whenthere is an annuity to be paid them; and she is very stout and healthy,and hardly forty."
76,1,"An annuity is a very serious business; it comes overand over every year, and there is no getting rid of it."
77,1,You are notaware of what you are doing.
78,1,"I have known a great deal of the troubleof annuities; for my mother was clogged with the payment of three toold superannuated servants by my father’s will, and it is amazing howdisagreeable she found it."
79,1,"Twice every year these annuities were to bepaid; and then there was the trouble of getting it to them; and thenone of them was said to have died, and afterwards it turned out to beno such thing."
80,1,My mother was quite sick of it.
81,1,"Her income was not herown, she said, with such perpetual claims on it; and it was the moreunkind in my father, because, otherwise, the money would have beenentirely at my mother’s disposal, without any restriction whatever."
82,1,"Ithas given me such an abhorrence of annuities, that I am sure I wouldnot pin myself down to the payment of one for all the world.”“It is certainly an unpleasant thing,” replied Mr."
83,1,"Dashwood, “to havethose kind of yearly drains on one’s income."
84,1,"One’s fortune, as yourmother justly says, is _not_ one’s own."
85,1,"To be tied down to the regularpayment of such a sum, on every rent day, is by no means desirable: ittakes away one’s independence.”“Undoubtedly; and after all you have no thanks for it."
86,1,"They thinkthemselves secure, you do no more than what is expected, and it raisesno gratitude at all."
87,1,"If I were you, whatever I did should be done at myown discretion entirely."
88,1,I would not bind myself to allow them anything yearly.
89,1,"It may be very inconvenient some years to spare ahundred, or even fifty pounds from our own expenses.”“I believe you are right, my love; it will be better that there shouldbe no annuity in the case; whatever I may give them occasionally willbe of far greater assistance than a yearly allowance, because theywould only enlarge their style of living if they felt sure of a largerincome, and would not be sixpence the richer for it at the end of theyear."
90,1,It will certainly be much the best way.
91,1,"A present of fiftypounds, now and then, will prevent their ever being distressed formoney, and will, I think, be amply discharging my promise to myfather.”“To be sure it will."
92,1,"Indeed, to say the truth, I am convinced withinmyself that your father had no idea of your giving them any money atall."
93,1,"The assistance he thought of, I dare say, was only such as mightbe reasonably expected of you; for instance, such as looking out for acomfortable small house for them, helping them to move their things,and sending them presents of fish and game, and so forth, whenever theyare in season."
94,1,"I’ll lay my life that he meant nothing farther; indeed,it would be very strange and unreasonable if he did."
95,1,"Do but consider,my dear Mr."
