Source,Sentence
Hemingway,"In the sentry box that faced toward them up the road, the sentry was sitting holding his rifle, the bayonet fixed, between his knees."
Hemingway,He was smoking a cigarette and he wore a knitted cap and blanket style cape.
Hemingway,"At fifty yards, you could not see anything about his face."
Hemingway,"Robert put up his field glasses, shading the lenses carefully with his cupped hands even though there was now no sun to make a glint, and there was the rail of the bridge as clear as though you could reach out and touch it and there was the face of the sentry so clear he could see the sunken cheeks, the ash on the cigarette and the greasy shine of the bayonet."
Hemingway,"It was a peasant's face, the cheeks hollow under the high cheekbones, the beard stubbled, the eyes shaded by the heavy brows, big hands holding the rifle, heavy boots showing beneath the folds of the blanket cape."
Hemingway,"There was a worn, blackened leather wine bottle on the wall of the sentry box, there were some newspapers and there was no telephone."
Hemingway,"There could, of course, be a telephone on the side he could not see; but there were no wires running from the box that were visible."
Hemingway,A telephone line ran along the road and its wires were carried over the bridge.
Hemingway,"There was a charcoal brazier outside the box, made from an old petrol tin with the top cut off and holes punched in it, which rested on two stones; but he held no fire."
Hemingway,There were some fire-blackened empty tins in the ashes under it.
Hemingway,Robert Jordan handed the glasses to Anselmo who lay flat beside him.
Hemingway,The old man grinned and shook his head.
Hemingway,He tapped his skull beside his eye with one finger.
Hemingway,"""Ya io veo,"" he said in Spanish."
Hemingway,"""I have seen him,"" speaking from the front of his mouth with almost no movement of his lips in the way that is quieter than any whisper."
Hemingway,"He looked at the sentry as Robert Jordan smiled at him and, pointing with one finger, drew the other across his throat."
Hemingway,Robert Jordan nodded but he did not smile.
Hemingway,The sentry box at the far end of the bridge faced away from them and down the road and they could not see into it.
Hemingway,"The road, which was broad and oiled and well constructed, made a turn to the left at the far end of the bridge and then swung out of sight around a curve to the right."
Hemingway,"At this point it was enlarged from the old road to its present width by cutting into the solid bastion of the rock on the far side of the gorge; and its left or western edge, looking down from the pass and the bridge, was marked and protected by a line of upright cut blocks of stone where its edge fell sheer away to the gorge."
Hemingway,"The gorge was almost a canyon here, where the brook, that the bridge was flung over, merged with the main stream of the pass."
Hemingway,He was watching the sentry again with his glasses.
Hemingway,"The sentry rubbed his cigarette out on the plank wall of the box, then took a leather tobacco pouch from his  pocket, opened the paper of the dead cigarette and emptied the remnant of used tobacco into the pouch."
Hemingway,"The sentry stood up, leaned his rifle against the wall of the box and stretched, picked up his rifle, slung it over his shoulder and walked out onto the bridge."
Hemingway,Anselmo flattened on the ground and Robert Jordan slipped his glasses into his shirt pocket and put his head well behind the pine tree.
Hemingway,"The sentry was standing, his back toward them, at the far end of the bridge."
Hemingway,From the gorge came the noise of the stream in the boulders.
